X;cos(X)
-1.000000000000000000e+00; 5.403023058681397650e-01
-7.777777777777777901e-01; 7.124746245384189214e-01
-5.555555555555555802e-01; 8.496075628495277643e-01
-3.333333333333333703e-01; 9.449569463147377002e-01
-1.111111111111111605e-01; 9.938335085388919632e-01
1.111111111111111605e-01; 9.938335085388919632e-01
3.333333333333332593e-01; 9.449569463147377002e-01
5.555555555555553582e-01; 8.496075628495278753e-01
7.777777777777776791e-01; 7.124746245384189214e-01
1.000000000000000000e+00; 5.403023058681397650e-01
